scope_id,project_id,date,author,note_type,estimated_labor_hours,estimated_material_cost,approval_status,co_status,root_cause,responsibility,description,full_description
SCOPE-001,PRJ-2024-003,2024-06-15,J. Martinez,Daily Report,16,0,undocumented,not_submitted,design_conflict,tbd,"Had to rerun 80 feet of ductwork in gym - fire protection conflict. Sprinkler heads weren't on the coordination drawings. Rerouted duct 18 inches lower. Crew: 4 sheet metal workers, 16 labor hours tot...","Had to rerun 80 feet of ductwork in gym - fire protection conflict. Sprinkler heads weren't on the coordination drawings. Rerouted duct 18 inches lower. Crew: 4 sheet metal workers, 16 labor hours total. No CO submitted yet - waiting to bundle with other FP coordination issues."
SCOPE-002,PRJ-2024-003,2024-06-17,K. Thompson,Coordination Note,16,0,verbal,not_submitted,owner_change,architect,GC walked through north wing classrooms. Architect wants to relocate 4 VAV boxes to accommodate new furniture layout (owner change). Quick verbal approval from GC super - told us to handle it and he'd...,"GC walked through north wing classrooms. Architect wants to relocate 4 VAV boxes to accommodate new furniture layout (owner change). Quick verbal approval from GC super - told us to handle it and he'd get paperwork later. Crew knocked it out: 2 guys, 8 hours each = 16 hours. Will document for CO when owner finalizes other changes."
SCOPE-003,PRJ-2024-003,2024-07-01,J. Martinez,Issue Log,64,0,none,not_submitted,design_conflict,gc,"Coordination issue in cafeteria - drywall crew already closed ceiling in Zone B before our duct install. Not per schedule. Had to remove ceiling grid, install ductwork, reinstall. GC aware. Extra 4 da...","Coordination issue in cafeteria - drywall crew already closed ceiling in Zone B before our duct install. Not per schedule. Had to remove ceiling grid, install ductwork, reinstall. GC aware. Extra 4 days for our crew (4 workers × 2 days OT = major cost). Productivity maybe 40% of normal. Haven't submitted CO - GC says it's on them but no direction yet."
SCOPE-004,PRJ-2024-003,2024-07-08,M. Chen,Daily Report,48,2400,none,not_submitted,design_conflict,tbd,"Ductwork rework complete on north wing. Second time redoing this section - first rework was for FP conflict, now structural beam shown on drawings is 6 inches off actual location. Field verified with ...","Ductwork rework complete on north wing. Second time redoing this section - first rework was for FP conflict, now structural beam shown on drawings is 6 inches off actual location. Field verified with GC. Had to fabricate custom offset fittings. Added 3 days to schedule. Material cost maybe $2400 extra. Labor: 4 workers × 12 hours OT. Waiting on direction for CO submission."
SCOPE-005,PRJ-2024-003,2024-07-22,K. Thompson,Coordination Note,8,4200,verbal,not_submitted,owner_change,owner,Added 3 exhaust fans in kitchen per owner request through GC. Not on original drawings - owner's food service consultant walked site last week and said code requires them. Fans on order (rush delivery...,"Added 3 exhaust fans in kitchen per owner request through GC. Not on original drawings - owner's food service consultant walked site last week and said code requires them. Fans on order (rush delivery = premium). GC verbal approval, said owner will pay. Installed rough-in today: 3 crew, 8 hours. Will need return for final hookup and controls. Estimate total: 24 labor hours + $4200 per fan."
SCOPE-006,PRJ-2024-003,2024-07-24,J. Martinez,Issue Log,48,850,undocumented,not_submitted,gc_coordination,gc,Piping pressure test failed in kitchen hydronic loop - second attempt. First failure was pinhole leak (warranty repair). This time found improper pitch on condensate line. Not per our install - looks ...,Piping pressure test failed in kitchen hydronic loop - second attempt. First failure was pinhole leak (warranty repair). This time found improper pitch on condensate line. Not per our install - looks like GC shifted piping when they poured equipment pad without notifying us. Had to cut out 12 feet of pipe and re-route. Extra materials: $850. Labor: 3 pipefitters × 2 days = 48 hours. Documented with photos. GC claims it's our issue.
SCOPE-007,PRJ-2024-003,2024-07-29,M. Chen,Coordination Note,24,0,undocumented,not_submitted,design_conflict,tbd,Worked around plumbing crew all day in mechanical room - they weren't supposed to be in this area until next week per schedule. Our productivity was maybe 50% normal. Crew standing around waiting for ...,"Worked around plumbing crew all day in mechanical room - they weren't supposed to be in this area until next week per schedule. Our productivity was maybe 50% normal. Crew standing around waiting for access. Still charged to project but barely got anything done. 3 workers × 8 hours = 24 hours at low productivity. Talked to GC - schedule conflict, not our fault."
SCOPE-008,PRJ-2024-003,2024-08-10,K. Thompson,Issue Log,64,5000,undocumented,not_submitted,owner_change,architect,Controls programming rework substantial this week. Architect revised control sequence 3 times this month - latest rev changes VAV logic completely. Our programmer has been on site 6 extra days redoing...,Controls programming rework substantial this week. Architect revised control sequence 3 times this month - latest rev changes VAV logic completely. Our programmer has been on site 6 extra days redoing work. Haven't submitted CO yet - waiting to see if there are more changes. Estimate impact: 64 hours controls tech time @ $78/hr base = ~$5000 labor cost plus burden. Owner-driven change but no paperwork yet.
SCOPE-009,PRJ-2024-003,2024-08-12,J. Martinez,Daily Report,32,0,verbal,not_submitted,design_conflict,tbd,Controls tech working in classrooms. Discovered thermostat locations shown on drawings won't work - conflict with casework (built-in cabinets). Teacher input during walkthrough last week. Relocating 8...,"Controls tech working in classrooms. Discovered thermostat locations shown on drawings won't work - conflict with casework (built-in cabinets). Teacher input during walkthrough last week. Relocating 8 thermostats + adding 2 new ones per principal request. GC aware, said handle it. Extra wire pulls and programming changes. Estimate: 32 hours additional controls work. Submitted RFI-042 but proceeding to stay on schedule."
SCOPE-010,PRJ-2024-003,2024-08-15,M. Chen,Coordination Note,6,3800,undocumented,absorbed,gc_coordination,self_absorbed,GC asked if we could swap out a damaged VAV box for free - their electrical crew dropped it last week. We ordered replacement (2 week lead time) and will install. Keeping relationship smooth. Cost: $3...,GC asked if we could swap out a damaged VAV box for free - their electrical crew dropped it last week. We ordered replacement (2 week lead time) and will install. Keeping relationship smooth. Cost: $3800 for box + 6 hours install labor. Absorbed as goodwill - GC has been good on other changes so didn't want to rock boat. Foreman decision.
